OWL	
0.856410256	0.039274856
0.874358974	0.035264761
0.892307692	0.031057231
0.91025641	0.026628874
0.928205128	0.021951429
0.946153846	0.016991496
0.964102564	0.011710265
0.982051282	0.006063246
1	0
	
	
